Braum's Ice Cream & Dairy Stores,3,5.0,$$,37.12149,-94.47464,Joplin,MO
Pineapple Bliss,4,5.0,N/A,37.06721,-94.51456,Joplin,MO
Baskin-Robbins,1,5.0,$,37.056385,-94.514442,Joplin,MO
Ma-Ko-Sha Coffee @ Downstream Casino,1,4.0,$,36.998041793704,-94.6248833835125,Quapaw,OK
Braum's,5,3.5,$$,37.0624618530273,-94.4788360595703,Joplin,MO
Shakes Frozen Custards,4,2.0,$$,37.14202,-94.48478,Webb City,MO
Shake's Frozen Custard,4,3.5,$$,37.14067,-94.31359,Carthage,MO
Braum's Ice Cream,7,4.0,$,37.1767781674862,-94.3140602856874,Carthage,MO
Shake's Frozen Custard,7,2.5,$$,37.074359,-94.476196,Joplin,MO
Braum's,6,3.5,$$,37.40405,-94.70442,Pittsburg,KS
La Botanita,1,5.0,N/A,37.0893232624939,-94.4776173681021,Joplin,MO
Braum's Ice Cream & Dairy Store,1,4.0,$,36.8645924,-94.3814648,Neosho,MO
Dairy Queen,6,3.0,N/A,37.0747651,-94.6347999,Galena,KS
Sweet Designs Cakery,3,3.5,$$,37.4105262756348,-94.7052993774414,Pittsburg,KS
Freddy's Frozen Custard & Steakburgers,6,4.5,$,37.3950497,-94.7053406,Pittsburg,KS
Braum's Ice Cream,3,2.0,$,36.5932551,-94.77501,Grove,OK
Dairy Queen,3,1.5,$$,36.5740853,-94.7693825,Grove,OK
Andy's Frozen Custard,74,4.5,$,36.6391499,-93.2847146,Branson,MO
Cruisin USA Frozen Custard,8,4.0,$,37.0428180029708,-93.2851845781648,Nixa,MO
Andy's Frozen Custard,62,4.5,$,37.16398,-93.29469,Springfield,MO
Elle's Patisserie,30,4.5,$$,37.20355,-93.26909,Springfield,MO
Andys Frozen Custard,39,4.5,$,37.23581,-93.26163,Springfield,MO
Orange Leaf Frozen Yogurt,27,4.0,$,37.13696,-93.27287,Springfield,MO
Kilwins,17,4.5,N/A,36.6554408,-93.2205205,Branson,MO
Andy's Frozen Custard,13,4.5,$,37.1595271,-93.2728926,Springfield,MO
Cakes & Creams,113,4.0,$,36.6390367365813,-93.2698709934277,Branson,MO
